SA1_MAINCODE_2011,SSC_CODE_2011
11001118815,10081
11102121601,10082
11102121606,10082
10104102524,10083
12201141833,10084
12201141824,10084
12201141834,10084
12201141825,10084
12201141829,10084
12201141831,10084
12201141830,10084
12201141826,10084
12201141821,10084
12201141827,10084
12201141810,10084
12201141832,10084
12201141823,10084
12201141835,10084
12201141828,10084
12201141836,10085
12201141813,10085
12201141840,10085
12201141812,10085
12201141842,10085
12201141839,10085
12201141838,10085
12201141814,10085
10704114407,10086
10704114405,10086
10704114432,10086
10704114406,10086
10704114423,10086
10704114408,10086
10704114430,10086
10704114424,10086
10704114431,10086
10704114409,10086
10704114422,10086
10704114402,10086
10503110403,10087
10503110318,10088
11201123603,10089
11201123639,10089
11201123638,10089
11201123614,10089
11201123634,10089
11201123601,10089
11201123612,10089
11201123613,10089
11201123646,10089
11201123632,10089
11201123633,10089
11201123602,10089
11201123636,10089
11201123644,10089
11201123605,10089
11201123631,10089
11201123630,10089
11201123635,10089
11201123645,10089
11201123637,10089
11201123619,10089
11201123615,10089
12002138716,10090
12002138714,10090
12002138715,10090
12002138726,10090
12002138713,10090
12002138705,10090
12002138720,10090
12002138739,10090
12002138702,10090
12002138712,10090
12002138707,10090
12002138738,10090
12002138728,10090
12002138732,10090
12002138704,10090
12002138727,10090
12002138701,10090
12002138709,10090
12002138724,10090
12002138723,10090
12002138711,10090
12002138708,10090
12002138722,10090
12002138710,10090
12002138740,10090
12002138717,10090
12002138742,10090
12002138733,10090
12002138735,10091
12002138736,10091
12002138737,10091
12002138741,10091
12002138734,10091
11102122015,10092
11102122016,10092
11402128501,10093
11402128516,10093
10902117908,10094
10902117910,10094
10902117909,10094
10902117907,10094
10601111017,10095
11401127732,10096
11401127707,10096
11201123807,10097
11201123817,10097
11201123816,10097
11201123815,10097
11201123818,10097
11002119302,10098
12802153540,10099
12802153539,10099
12802153551,10099
12802153533,10099
12802153509,10099
12802153552,10099
12802153534,10099
12802153541,10099
12802153542,10099
12802153554,10099
12802153557,10099
12802153532,10099
12802153555,10099
12802153553,10099
12802153536,10099
11904138115,10100
11904138137,10100
11904138110,10100
11904138114,10100
11904138138,10100
11904138109,10100
11904138112,10100
11904138113,10100
11904138111,10100
11701132003,10101
11701132001,10101
11701132002,10101
11901135304,10102
11901135314,10102
11901135313,10102
11901135345,10102
11901135353,10102
11901135325,10102
11901135355,10102
11901135324,10102
11901135364,10102
11901135371,10102
11901135370,10102
11901135329,10102
11901135368,10102
11901135332,10102
11901135323,10102
11901135317,10102
11901135341,10102
11901135360,10102
11901135307,10102
11901135310,10102
11901135327,10102
11901135354,10102
11901135357,10102
11901135367,10102
11901135328,10102
11901135311,10102
11901135335,10102
11901135339,10102
11901135301,10102
11901135315,10102
11901135356,10102
11901135333,10102
11901135363,10102
11901135309,10102
11901135352,10102
11901135318,10102
11901135337,10102
11901135303,10102
11901135330,10102
11901135344,10102
11901135348,10102
