region_id,Total_Persons_Persons,Median_age_of_persons,Median_total_personal_income_weekly,Median_rent_weekly,Persons_Total_Volunteer,Persons_Year_12_or_equivalent_Total,Born_elsewhere_Persons,No_Internet_connection_Total,Different_usual_address_5_years_ago_Total_Persons,No_Religion_Persons,SA2_NAME,AREA_SQKM
214021378,5331,49,653,200,1244,2387,70,218,1485,1801,Flinders,287.4170692
214021379,20299,38,539,230,2959,6207,233,1476,8037,6774,Hastings - Somers,108.8851399
214021380,22421,43,555,280,3201,7837,405,2001,8470,5991,Mornington,21.08987296
214021381,17247,43,661,350,2872,7805,364,685,5426,4906,Mount Eliza,23.21001067
214021382,17087,41,617,346,2670,6533,281,740,6727,4775,Mount Martha,30.19249024
214021383,16127,49,491,251,2564,5348,239,1639,5256,4570,Point Nepean,67.17285789
214021384,19622,51,422,240,2736,5005,278,2665,7413,5380,Rosebud - McCrae,23.68827412
214021385,17452,38,573,270,2256,5312,170,978,5398,5291,Somerville,117.3529586
215011386,8076,43,488,160,1485,1825,101,988,2452,2078,Ararat,161.178648
215011387,2907,49,462,78,945,911,16,318,677,707,Ararat Region,4023.438761
215011388,15894,39,531,170,3620,4195,159,1876,5921,3249,Horsham,83.0693951
215011389,3410,44,528,80,1070,956,18,298,760,715,Horsham Region,4251.760231
215011390,7195,47,444,115,2300,1521,98,1006,1854,1270,Nhill Region,11042.81926
215011391,3585,47,398,122,985,823,28,517,915,679,St Arnaud,3008.575155
215011392,8270,44,466,145,1710,2088,74,1018,2601,2335,Stawell,2741.553839
215011393,2883,47,493,52,950,649,18,403,712,616,West Wimmera,5686.070812
215011394,7028,48,426,110,2241,1419,49,977,1681,1114,Yarriambiack,7139.581267
215021395,6477,40,505,168,1039,1520,79,511,1791,1604,Irymple,88.25808863
215021396,4641,42,427,160,793,978,18,510,1207,1248,Merbein,101.8243284
215021397,30647,37,462,180,4357,7721,805,3568,11905,7263,Mildura,76.15136364
215021398,3806,45,484,90,1073,781,27,437,915,822,Mildura Region,21569.52963
215021399,5405,40,426,150,870,1106,52,603,1537,1576,Red Cliffs,246.7198783
215031400,6387,48,406,100,2228,1479,24,951,1574,1122,Buloke,8068.684731
215031401,6495,47,430,110,1731,1221,20,817,1612,1480,Gannawarra,3568.217374
215031402,3873,47,407,135,1017,741,24,615,1096,861,Kerang,146.607756
215031403,3471,37,443,150,510,733,251,422,976,413,Robinvale,181.7432211
215031404,10430,38,508,170,2202,2657,220,1318,3896,2301,Swan Hill,126.5657314
215031405,6550,41,453,120,1394,1346,70,651,1664,1570,Swan Hill Region,5759.227693
216011406,14191,40,509,200,2510,3385,73,1480,5081,3283,Echuca,183.8169247
216011407,10736,41,458,160,2132,2233,63,1217,3272,2252,Kyabram,738.8613176
216011408,3726,42,441,100,815,709,11,364,932,840,Lockington - Gunbower,1646.358221
216011409,3798,46,466,140,945,762,15,442,1040,773,Rochester,351.6445541
216011410,4098,48,393,125,954,846,30,535,1024,857,Rushworth,1633.885924
216021411,6245,42,422,170,985,1318,61,827,2146,985,Cobram,131.7200176
216021412,2559,45,471,100,577,595,17,267,707,470,Moira,1498.816833
216021413,12262,42,438,150,2640,2596,85,1362,3689,2713,Numurkah,2321.017238
216021414,7057,47,435,190,1291,1574,32,865,2499,1220,Yarrawonga,94.99936216
216031415,7813,38,478,175,1166,1748,79,965,2601,1798,Mooroopna,39.97334628
216031416,17232,37,543,190,2582,4973,725,1693,6271,3358,Shepparton - North,65.66480981
216031417,21457,36,495,200,2780,5320,1030,1951,7391,4012,Shepparton - South,143.24309
216031418,3926,40,553,150,898,1043,20,286,989,898,Shepparton Region - East,1055.60234
216031419,9792,40,489,160,1852,2294,120,885,2756,2088,Shepparton Region - West,1028.722412
217011420,8831,45,442,120,2384,2015,48,1006,2194,2220,Glenelg (Vic.),6121.088078
217011421,10104,43,512,165,2297,2667,88,1296,3256,2234,Hamilton (Vic.),198.3366513
217011422,10715,41,480,180,2183,2485,104,1131,3589,2938,Portland,63.98505742
217011423,6347,44,491,100,1987,1761,37,710,1669,1126,Southern Grampians,6563.766691
217021424,3463,46,446,160,778,804,18,489,985,651,Camperdown,98.11909156
217021425,11778,40,498,180,1880,2785,116,1499,3794,2739,Colac,54.73466107
217021426,5318,42,509,145,1242,1338,29,509,1280,1389,Colac Region,1934.276411
217021427,5397,45,439,120,1406,1261,27,685,1366,1107,Corangamite - North,2538.346792
217021428,7474,40,528,120,1651,1729,32,704,2015,1852,Corangamite - South,1805.188682
217021429,6707,40,541,120,1650,1737,35,653,1731,1393,Moyne - East,3277.992013
217021430,8890,42,521,180,2147,2557,39,833,2839,1968,Moyne - West,2035.718874
217021431,3268,49,475,195,905,1098,50,324,1008,1151,Otway,1505.900218
217021432,19542,37,536,220,3597,5499,138,1851,6902,4242,Warrnambool - North,62.41964612
217021433,12838,39,525,220,2543,4154,112,1386,4556,3014,Warrnambool - South,120.1940409
