region_id,Median_age_of_persons,Median_mortgage_repayment_monthly,Median_total_personal_income_weekly,Median_rent_weekly,Median_total_family_income_weekly,Average_number_of_Persons_per_bedroom,Median_total_household_income_weekly,Average_household_size,Owned_outright_Total,Owned_with_a_mortgage_Total,Total_Persons_Persons
3105503,31,2167,714,270,1458,1.1,1047,2,19,21,266
3105504,31,1863,675,330,1406,1.1,1199,2.2,27,45,403
3105505,31,1744,761,320,1680,1.1,1345,2.2,23,52,547
3105506,34,1950,674,300,1511,1.2,1257,2,23,47,431
3105507,30,2708,833,325,1750,1.1,1297,2.2,23,35,323
3105508,31,2405,862,325,2062,1.1,1534,2.3,35,57,507
3105509,33,1521,927,320,2113,1.2,1863,2.2,25,30,270
3105510,42,1747,749,260,2107,1.1,1083,2,30,40,324
3105511,35,2500,650,280,1750,1.2,1055,2.2,17,30,325
3105512,33,1585,890,350,1725,1.1,1538,2,28,65,377
3105513,36,2600,738,286,2094,1,1145,1.8,26,29,223
3105514,51,1300,488,318,1449,1.1,1412,2.5,21,18,212
3105515,36,2500,1003,265,2227,1.1,1433,2.2,33,54,321
3105516,29,2243,888,375,1865,1.1,1588,2.5,13,35,268
3105517,35,1907,738,355,1920,1.1,1361,2.3,41,48,491
3105518,32,1733,629,300,1478,1.1,1056,1.8,46,42,561
3105519,30,1920,700,320,1231,1.1,1150,2.1,33,38,404
3105520,31,1647,703,350,1874,1.1,1291,2.1,10,25,213
3105521,29,1550,692,310,1303,1.2,1147,2.1,14,23,313
3105522,30,2383,868,375,2062,1.1,1807,2.3,46,53,564
3105523,32,2000,925,400,2468,1.1,2250,2.7,51,67,438
3105601,36,1950,412,136,1399,1.1,944,2.3,26,46,473
3105602,36,2058,808,395,2333,1.1,1678,2.9,27,30,224
3105603,38,2383,723,320,1855,1,1607,2.5,52,66,441
3105604,35,2600,683,300,1536,1.1,1518,2.6,22,28,235
3105605,34,1733,890,445,2437,1.1,2062,3.2,24,39,262
3105606,34,700,716,355,2227,1.2,1843,2.9,24,24,211
3105607,34,1904,842,360,2103,1.1,2113,2.7,30,75,407
3105608,35,2167,639,166,1571,1.1,1194,2.6,48,62,510
3105609,34,3060,933,325,2333,1.2,2386,2.8,23,59,296
3105610,37,2300,961,325,2382,1.1,2053,2.5,31,60,367
3105611,37,1560,766,200,1874,1.2,1102,2,11,38,258
3105612,38,2492,1014,400,2474,1,2019,2.6,60,59,410
3105613,36,2600,969,325,2560,1.1,2347,3,56,72,487
