region_id,Median_age_of_persons,Median_mortgage_repayment_monthly,Median_total_personal_income_weekly,Median_rent_weekly,Median_total_family_income_weekly,Average_number_of_Persons_per_bedroom,Median_total_household_income_weekly,Average_household_size,Total_Persons_Persons
3135927,40,2167,806,270,1716,1.1,1465,2.6,460
3135928,33,2490,721,380,1581,1,1601,2.7,469
3135929,37,2550,754,370,1616,1,1575,2.7,491
3136101,38,2000,715,320,1910,1.1,1782,3,575
3136102,43,1600,673,231,1548,1.1,1488,2.6,197
3136103,37,1465,525,150,1355,1.2,1125,2.6,470
3136104,45,1647,615,210,1430,1.1,1260,2.8,434
3136105,45,1950,693,240,1594,1.2,1455,2.7,508
3136106,41,1677,676,300,1546,1.1,1451,2.9,265
3136107,46,1517,491,200,1036,1.1,756,2.2,671
3136108,39,791,492,25,1375,1.1,700,2.6,382
3136109,40,1213,522,250,1093,1.1,861,2.4,682
3136110,45,1474,493,228,1430,1.1,1077,2.2,321
3136111,44,1189,374,160,1555,1.2,1166,2.9,490
3136112,46,1700,510,0,1125,1.1,872,2.5,493
3136113,56,1950,453,200,946,1.1,841,2.1,394
3136114,34,1885,582,280,1083,1.1,996,2.5,471
3136115,49,2000,477,185,987,1.1,643,2.1,362
3136116,42,1680,573,295,1515,1.1,1235,2.5,329
3136117,40,1733,385,210,974,1.1,690,2,245
3136118,37,1473,573,200,1485,1.1,1117,2.5,305
3136119,35,1517,521,235,1053,1.1,942,2.6,773
3136120,38,1733,533,260,1228,1.1,1012,2.6,465
3136122,39,1950,613,100,1042,1.1,1312,2.7,512
3136123,42,1500,492,250,1292,1,1160,2.9,360
3136201,41,2080,435,270,924,1,864,2.3,523
3136202,25,3300,523,330,1317,1.1,1037,3.1,333
3136203,32,1413,438,340,941,1.1,940,2.8,497
3136205,64,1757,409,200,825,1.1,606,1.6,214
3136206,38,1950,479,350,1062,1,1038,2.8,505
3136207,55,1409,481,200,949,1.1,863,2.3,349
3136208,53,1279,392,230,958,1.1,761,2.1,324
3136209,45,1600,474,295,1050,1.1,1160,2.7,333
3136210,53,1300,392,235,877,1.1,688,1.9,483
3136211,42,1300,555,500,1160,1.1,1174,2.8,327
3136212,45,1300,384,430,1018,1,1055,3.1,297
3136213,38,2045,585,430,1428,1.1,1583,3,228
3136214,39,2523,538,450,1617,1,1534,3,415
3136215,43,1692,395,280,842,1,714,2.5,220
3136216,35,1300,385,300,919,1.1,895,2.8,415
3136217,40,1993,420,290,903,1.1,749,2.4,200
3136218,49,1683,391,250,933,1.1,668,2.1,297
3136219,34,1765,431,280,1062,1.1,880,2.7,563
3136220,45,1993,484,263,1031,1,866,2.2,547
3136221,59,2167,398,293,890,1,812,2.1,693
3136222,53,1700,517,345,1050,1,1125,2.4,460
3136223,34,1733,420,320,951,1.1,1050,3,292
3136224,58,1625,374,310,891,1,803,2.2,618
3136225,59,1863,403,320,893,1,924,2.2,542
3136226,56,1567,452,330,956,1,887,2.4,323
3136227,58,1440,375,330,892,1,764,2.2,647
3136228,54,2000,480,430,956,1,1062,2.6,326
3136229,40,1943,458,315,1343,1,1288,3,364
3136230,39,1452,452,270,882,1.1,816,2.4,439
3136231,46,2167,492,395,1519,1.1,1021,2.6,552
3136232,49,1040,507,260,1077,1.1,854,2.2,592
3136301,48,1300,379,260,823,1,696,2.3,484
3136302,57,1678,485,330,1052,1,968,2.3,617
3136303,56,2600,410,290,959,1.1,905,2.5,462
3136304,58,1600,369,240,804,1,592,2,406
3136305,48,1083,402,250,808,1,746,2.3,746
3136306,62,2383,417,315,888,1,734,2,210
3136307,60,2102,386,115,774,1,584,1.7,284
3136308,55,1828,408,250,814,1,592,1.8,197
3136309,55,1200,384,275,1038,1,821,2.1,300
3136310,57,325,401,273,769,1.3,557,1.8,416
3136311,58,1798,420,220,823,1,718,2,373
3136312,54,1950,502,375,1156,1,1153,2.6,314
3136313,52,1785,381,225,822,1.1,716,2,475
3136314,47,1842,394,240,881,1.1,667,2.1,307
3136315,46,1575,395,273,863,1.1,824,2.3,296
3136316,57,1500,427,255,787,1.1,717,2,264
3136317,52,1600,430,220,1010,1.1,734,1.8,0
3136318,64,867,348,220,715,1.1,516,1.6,731
3136319,44,2000,613,450,1560,1,1581,2.8,300
3136322,54,1300,659,455,1446,1.1,1424,2.5,426
3136323,61,1800,426,210,905,1.1,683,1.9,368
3136324,67,2167,376,209,873,1,709,1.9,479
3136325,51,1083,375,240,966,1.1,707,2.1,557
3136326,56,1300,488,375,991,1,967,2.5,546
3136327,54,2371,464,330,977,1,1041,2.4,213
3136328,55,1000,422,400,1075,1,1019,2.4,471
3136329,56,1500,431,215,876,1.1,781,2.1,203
3136331,74,1044,324,126,686,1.1,483,1.5,284
3136332,59,2000,404,330,885,1.1,759,2.2,311
3136333,44,1842,425,273,1036,1.1,753,2.1,375
3136334,56,1733,431,290,880,1,815,2.2,513
3136335,53,1300,425,220,881,1,645,1.8,490
3136336,56,1694,416,240,887,1.1,738,2,380
3136337,62,758,390,315,855,1,825,2,0
3136338,59,1582,530,330,1171,1,958,2.2,331
3136339,46,1842,376,360,1010,1,747,2.3,512
3136340,41,2000,491,330,1260,1,1196,2.6,1087
3136341,54,867,379,260,831,1,767,2.4,487
3136342,61,1343,455,330,991,1,933,2,393
3136343,55,1850,477,340,1052,1,980,2.3,451
3136344,53,2329,389,333,1208,1,1528,2.3,373
3136345,73,0,347,138,681,1,524,1.5,244
3136401,46,1300,474,2569,1075,1,1114,2.9,300
3136402,36,1733,679,495,1625,1,1579,3.3,193
3136403,39,1509,525,488,1636,1.1,1727,3.2,291
3136404,38,1750,806,397,1916,1.1,2069,3.5,622
3136405,46,1880,593,0,1375,1,1471,2.8,372
3136406,41,1875,537,250,1663,1,1485,3.1,217
3136407,37,1733,658,0,1536,1.1,1558,3.4,323
3136408,39,2167,694,432,1889,1,1866,3.3,493
3136409,35,2167,558,500,1849,1.1,1666,3.4,437
3136410,38,1842,562,0,1750,1,1892,3.5,270
3136501,34,1449,402,260,850,1.1,961,2.7,456
3136502,82,1636,384,161,769,1.1,500,1.6,360
3136503,27,1140,374,260,900,1.1,892,2.7,342
3136504,32,1517,414,250,900,1.1,836,2.7,365
3136505,25,1560,508,280,988,1,853,2.9,427
3136506,42,1733,384,293,907,1,806,2.5,395
3136507,33,1644,482,250,1099,1.1,935,2.6,749
3136508,40,1950,511,335,1360,1.1,1381,3.1,481
3136509,34,1996,595,360,1471,1,1583,3.3,0
3136510,38,2119,601,275,1536,1.1,1295,2.9,485
3136511,55,2167,394,189,1062,1,450,1.6,510
3136512,50,1517,406,250,700,1.1,771,2.3,0
3136513,61,2000,488,305,1132,1,905,2.2,445
3136514,26,1733,435,250,772,1.1,780,2.6,559
3136515,34,1598,382,250,891,1.1,748,2.5,350
3136516,25,2331,561,330,1104,1.1,1092,3.1,482
3136517,26,1500,581,330,1256,1.1,1116,2.9,405
3136518,25,2167,502,315,1171,1.2,1144,3.4,318
3136519,26,1651,518,300,1045,1.1,1112,2.8,445
3136520,41,1733,369,300,875,1.1,888,2.6,551
3136521,42,1200,541,340,1232,1.1,1366,2.8,454
3136522,46,1907,569,230,1187,1.1,1330,2.9,356
3136523,34,1798,476,350,1281,1.1,1333,3.3,459
3136524,35,1746,607,340,1597,1.1,1394,3.2,317
3136525,45,1950,500,395,1228,1.1,1413,3,504
