sa1,ssc
1110847,10159
1110842,10159
1110846,10159
1110851,10160
1110850,10160
1115628,10161
1134312,10162
1134331,10162
1134350,10162
1134340,10162
1134345,10162
1134344,10162
1134343,10162
1134313,10162
1134318,10162
1134351,10162
1134336,10162
1134332,10162
1134353,10162
1134352,10162
1134322,10162
1134335,10162
1134341,10162
1134323,10162
1134315,10162
1134314,10162
1134330,10162
1134317,10162
1134316,10162
1134334,10162
1134342,10162
1134324,10162
1134333,10162
1108313,10163
1108302,10163
1108307,10163
1108308,10163
1108315,10163
1108306,10163
1108316,10163
1108304,10163
1108305,10163
1108301,10163
1108303,10163
1120621,10164
1120630,10164
1120637,10164
1120629,10164
1120641,10164
1120638,10164
1120606,10164
1120607,10164
1120640,10164
1120622,10164
1120633,10164
1120623,10164
1120631,10164
1120642,10164
1120608,10164
1120639,10164
1120628,10165
1120604,10165
1120636,10165
1120611,10165
1120613,10165
1120614,10165
1120618,10165
1120624,10165
1120632,10165
1120635,10165
1120634,10165
1120609,10165
1120610,10165
1120603,10165
1120605,10165
1120615,10165
1120716,10166
1120714,10166
1120709,10166
1120710,10166
1120708,10166
1136211,10167
1136238,10167
1136223,10167
1136215,10167
1136242,10167
1136204,10167
1136203,10167
1136230,10167
1136210,10167
1136239,10167
1136243,10167
1136236,10167
1136206,10167
1136208,10167
1136202,10167
1136237,10167
1136241,10167
1136224,10167
1136201,10167
1136240,10167
1136209,10167
1136229,10167
1136235,10167
1136233,10167
1136228,10167
1136231,10167
1136234,10167
1136232,10167
1136207,10167
1136205,10167
1115612,10168
1142848,10169
1142813,10169
1142815,10169
1142841,10169
1142846,10169
1142851,10169
1142849,10169
1142850,10169
1142844,10169
1142847,10169
1142821,10169
1142836,10169
1142810,10169
1142811,10169
1142812,10169
1142860,10169
1142814,10169
1142859,10169
1142845,10169
1142820,10169
1142816,10169
1102022,10170
1102024,10170
1118707,10171
1128303,10172
1120530,10173
1120515,10173
1100611,10174
1111018,10175
1125709,10176
1110301,10177
1110312,10177
1102924,10178
1102916,10178
1102922,10178
1102914,10178
1102923,10178
1102915,10178
1124515,10179
1147424,10180
1147414,10180
1147417,10180
1147454,10180
1147476,10180
1147426,10180
1147434,10180
1147433,10180
1147429,10180
1147418,10180
1147453,10180
1147431,10180
1147415,10180
1147435,10180
1147430,10180
1147428,10180
1147416,10180
1147427,10180
1147432,10180
1147475,10180
1147425,10180
1147447,10180
1147452,10180
1147472,10180
1145101,10181
1122307,10182
1122303,10182
1122304,10182
1122310,10182
1122311,10182
1122302,10182
1122309,10182
1122306,10182
1102616,10183
1113061,10184
1113044,10184
1113003,10184
1113051,10184
1113053,10184
1113059,10184
1113066,10184
1113067,10184
1113015,10184
1113050,10184
1113064,10184
1113014,10184
1113002,10184
1113060,10184
1113054,10184
1113041,10184
1113058,10184
1113013,10184
1113049,10184
1104704,10185
1104709,10185
1104706,10185
1104730,10185
1104726,10185
1104710,10185
1104729,10185
1104719,10185
1104725,10185
1104737,10185
1104727,10185
1104731,10185
1104728,10185
1104722,10185
1104708,10185
1104707,10185
1104705,10185
1104718,10185
1104711,10185
1146809,10186
1146808,10186
1146803,10186
1146802,10186
1102718,10187
1102720,10187
1102710,10187
1102717,10187
1102701,10187
1102719,10187
1140417,10188
1140431,10188
1140402,10188
1140419,10188
1140418,10188
1140409,10188
1140415,10188
1140429,10188
1140412,10188
1140410,10188
1140411,10188
1140407,10188
1129810,10189
1140420,10190
1140424,10190
1140425,10190
1140404,10190
1140403,10190
1140423,10190
1140421,10190
1140426,10190
1140405,10190
1140427,10190
1140406,10190
1140408,10190
1140430,10190
