SA1_MAINCODE_2011,SA1_7DIGITCODE_2011,,,,,
10104102030,1102030,,,,,
10104102031,1102031,,,,,
10104102032,1102032,,,,,
10104102101,1102101,,,,,
10104102102,1102102,,,,,
10104102103,1102103,,,,,
10104102104,1102104,,,,,
10104102105,1102105,,,,,
10104102106,1102106,,,,,
10104102107,1102107,,,,,
10104102201,1102201,,,,,
10104102301,1102301,,,,,
10104102302,1102302,,,,,
10104102303,1102303,,,,,
10104102304,1102304,,,,,
10104102305,1102305,,,,,
10104102306,1102306,,,,,
10104102307,1102307,,,,,
10104102308,1102308,,,,,
10104102309,1102309,,,,,
10104102310,1102310,,,,,
10104102401,1102401,,,,,
10104102401,1102401,,,,,
10104102402,1102402,,,,,
10104102402,1102402,,,,,
10104102403,1102403,,,,,
10104102404,1102404,,,,,
10104102405,1102405,,,,,
10104102406,1102406,,,,,
10104102407,1102407,,,,,
10104102408,1102408,,,,,
10104102409,1102409,,,,,
10104102410,1102410,,,,,
10104102411,1102411,,,,,
10104102412,1102412,,,,,
10104102501,1102501,,,,,
10104102502,1102502,,,,,
10104102503,1102503,,,,,
10104102504,1102504,,,,,
10104102505,1102505,,,,,
10104102506,1102506,,,,,
10104102507,1102507,,,,,
10104102508,1102508,,,,,
10104102509,1102509,,,,,
10104102510,1102510,,,,,
10104102511,1102511,,,,,
10104102512,1102512,,,,,
10104102513,1102513,,,,,
10104102514,1102514,,,,,
10104102515,1102515,,,,,
10104102516,1102516,,,,,
10104102517,1102517,,,,,
10104102518,1102518,,,,,
10104102519,1102519,,,,,
10104102520,1102520,,,,,
10104102521,1102521,,,,,
10104102522,1102522,,,,,
10104102523,1102523,,,,,
10104102524,1102524,,,,,
10104102525,1102525,,,,,
10104102526,1102526,,,,,
10104102527,1102527,,,,,
10104102528,1102528,,,,,
10104102529,1102529,,,,,
10104102530,1102530,,,,,
10104102601,1102601,,,,,
10104102602,1102602,,,,,
10104102603,1102603,,,,,
10104102604,1102604,,,,,
10104102605,1102605,,,,,
10104102606,1102606,,,,,
10104102607,1102607,,,,,
10104102608,1102608,,,,,
10104102609,1102609,,,,,
10104102610,1102610,,,,,
10104102611,1102611,,,,,
10104102612,1102612,,,,,
10104102613,1102613,,,,,
10104102614,1102614,,,,,
10104102615,1102615,,,,,
10104102616,1102616,,,,,
10104102617,1102617,,,,,
10104102618,1102618,,,,,
10104102619,1102619,,,,,
10104102620,1102620,,,,,
10104102621,1102621,,,,,
10104102622,1102622,,,,,
10104102623,1102623,,,,,
10104102701,1102701,,,,,
10104102702,1102702,,,,,
10104102703,1102703,,,,,
10104102704,1102704,,,,,
10104102705,1102705,,,,,
10104102706,1102706,,,,,
10104102707,1102707,,,,,
10104102708,1102708,,,,,
10104102709,1102709,,,,,
10104102710,1102710,,,,,
10104102711,1102711,,,,,
10104102712,1102712,,,,,
10104102713,1102713,,,,,
10104102714,1102714,,,,,
10104102715,1102715,,,,,
10104102716,1102716,,,,,
10104102717,1102717,,,,,
10104102718,1102718,,,,,
10104102719,1102719,,,,,
10104102720,1102720,,,,,
10104102721,1102721,,,,,
10104102722,1102722,,,,,
10104102723,1102723,,,,,
10104102724,1102724,,,,,
10104102725,1102725,,,,,
10104102726,1102726,,,,,
10104102727,1102727,,,,,
10104102728,1102728,,,,,
10104102729,1102729,,,,,
10201102802,1102802,,,,,
10201102803,1102803,,,,,
10201102804,1102804,,,,,
10201102805,1102805,,,,,
10201102806,1102806,,,,,
10201102807,1102807,,,,,
10201102808,1102808,,,,,
10201102809,1102809,,,,,
10201102810,1102810,,,,,
10201102811,1102811,,,,,
10201102812,1102812,,,,,
10201102813,1102813,,,,,
10201102814,1102814,,,,,
10201102815,1102815,,,,,
10201102816,1102816,,,,,
10201102817,1102817,,,,,
10201102818,1102818,,,,,
10201102901,1102901,,,,,
10201102902,1102902,,,,,
10201102903,1102903,,,,,
10201102904,1102904,,,,,
10201102905,1102905,,,,,
10201102906,1102906,,,,,
10201102907,1102907,,,,,
10201102908,1102908,,,,,
10201102909,1102909,,,,,
10201102910,1102910,,,,,
10201102911,1102911,,,,,
10201102912,1102912,,,,,
10201102913,1102913,,,,,
10201102914,1102914,,,,,
10201102915,1102915,,,,,
10201102916,1102916,,,,,
10201102917,1102917,,,,,
10201102918,1102918,,,,,
10201102919,1102919,,,,,
10201102920,1102920,,,,,
10201102921,1102921,,,,,
10201102922,1102922,,,,,
10201102923,1102923,,,,,
10201102924,1102924,,,,,
10201102925,1102925,,,,,
10201102926,1102926,,,,,
10201102927,1102927,,,,,
10201102928,1102928,,,,,
